,sparsity,threshold,N,TPR,FPR
0,0.01,0,100,1.0,1.0
1,0.01,0,200,1.0,1.0
2,0.1,0,100,1.0,1.0
3,0.1,0,200,1.0,1.0
4,0.5,0,100,1.0,1.0
5,0.5,0,200,1.0,1.0
6,0.01,500,100,0.0,0.0
7,0.01,500,200,0.0,0.0
8,0.1,500,100,0.6033333333333334,0.5773710482529119
9,0.1,500,200,1.0,1.0
10,0.5,500,100,0.9483333333333334,0.9500831946755408
11,0.5,500,200,0.9916666666666667,0.9983361064891847
12,0.01,1000,100,0.0,0.0
13,0.01,1000,200,0.0,0.0
14,0.1,1000,100,0.0,0.0
15,0.1,1000,200,0.8933333333333333,0.8885191347753744
16,0.5,1000,100,0.8466666666666667,0.8435940099833611
17,0.5,1000,200,0.965,0.9683860232945092
